date,station,predicted_cells,alert_probability,predicted_alert_label,shap_top_1,shap_top_1_value,shap_top_2,shap_top_2_value,shap_top_3,shap_top_3_value
2024-05-27,회남(옥천),20.970526641920802,0.0,0,water_temp,-0.07555837278676336,sin_season,-0.06558067489298992,turbidity,-0.060865555499131
2024-06-03,회남(옥천),42.19763719304897,0.01,0,water_temp,-0.074984325575424,sin_season,-0.07156845230070757,turbidity,-0.05904575401282273
2024-06-10,회남(옥천),97.5447186668049,0.0,0,sin_season,-0.06311289689998376,water_temp,-0.06183746044036525,acc_temp_7d,-0.05066980200994294
2024-06-17,회남(옥천),81.22255186535978,0.0,0,sin_season,-0.06458444440165295,water_temp,-0.05691111132920924,turbidity,-0.05235730166303256
2024-06-24,회남(옥천),226.74238884098685,0.0,0,sin_season,-0.061871151019631726,water_temp,-0.05839408758038189,turbidity,-0.05174452400082373
2024-07-01,회남(옥천),250.96405483713005,0.08,1,sin_season,-0.07681496003249777,turbidity,-0.052492341453616975,acc_temp_7d,-0.03806138891523005
2024-07-08,회남(옥천),103.22261538313701,0.04,0,water_temp,-0.0674559525215227,sin_season,-0.06187543648354222,turbidity,-0.04938170660123433
2024-07-15,회남(옥천),501.96051517064586,0.15,1,sin_season,-0.07385696170058509,cos_season,-0.05473442223206803,water_temp,0.03282535370683035
2024-07-23,회남(옥천),1001.9925534826966,0.44,1,water_temp,0.058253091749720626,turbidity,0.05492063154219068,sin_season,-0.028619208845429966
2024-07-29,회남(옥천),2426.2918068236827,0.73,1,turbidity,0.08445444067852804,water_temp,0.07783043697105313,acc_temp_7d,0.04463436175385141
2024-08-05,회남(옥천),2442.400600865643,0.81,1,turbidity,0.09410527053256373,water_temp,0.07884626638086047,sin_season,0.07527169918219442
2024-08-12,회남(옥천),2453.109911805136,0.75,1,turbidity,0.0872053212434912,sin_season,0.0791493688934861,water_temp,0.07182293670408399
2024-08-14,회남(옥천),1977.5911697779466,0.62,1,turbidity,0.07942346696616369,sin_season,0.07249667766714993,water_temp,0.06783475864558568
2024-08-19,회남(옥천),4146.4962984670265,0.83,1,turbidity,0.09607078290049685,water_temp,0.08475573982457718,sin_season,0.08139911626152753
2024-08-22,회남(옥천),3685.516099208824,0.75,1,turbidity,0.10304142116474395,sin_season,0.07632237362857268,water_temp,0.073694812599133
2024-08-26,회남(옥천),3467.092107664899,0.84,1,turbidity,0.10000746763696952,water_temp,0.08215774915061047,sin_season,0.08199254705294151
2024-08-29,회남(옥천),2288.578315919686,0.79,1,turbidity,0.10027008288845536,sin_season,0.08225885294719774,water_temp,0.08201980177211227
2024-09-02,회남(옥천),2121.5445728208647,0.74,1,turbidity,0.09238770214942633,sin_season,0.08043127357646881,water_temp,0.0783175001940981
2024-09-05,회남(옥천),939.2276303141413,0.75,1,turbidity,0.08874944442912237,sin_season,0.07793996043306833,water_temp,0.0773659127119754
