task,model_name,feature,importance,note
classification,catboost,DO,7.226283780128647,
classification,catboost,water_temp,6.178806974788005,
classification,catboost,cos_season,3.8906807991821695,
classification,catboost,max_temp,2.1543855664392746,
classification,catboost,pH,2.0593154572911474,
classification,catboost,sunshine_7d_sum,1.9722318328166473,
classification,catboost,air_temp_7d_mean,1.910619495244147,
classification,catboost,water_temp_diff_1d,1.734358313320778,
classification,catboost,avg_temp,1.48441606759258,
classification,catboost,level_change_7d,1.389260642708873,
classification,catboost,solar_7d_sum,1.3631834678194141,
classification,catboost,solar_rad,1.3457316145167457,
classification,catboost,sunshine,1.2849400407839189,
classification,catboost,water_level,1.1655166962733627,
classification,catboost,storage_vol,1.112160549049269,
classification,catboost,rain_7d_sum,1.0931660879506877,
classification,catboost,heat_stagnation_index,1.0461722057495753,
classification,catboost,inflow_7d_sum,0.9423781166571715,
classification,catboost,rain_14d_sum,0.9250242809733495,
classification,catboost,outflow,0.9233340533443,
classification,catboost,max_wind_gust,0.9218608981424405,
classification,catboost,residence_proxy,0.9112335597724593,
classification,catboost,water_level_diff_1d,0.9109955802908807,
classification,catboost,inflow_diff_1d,0.8866818882513255,
classification,catboost,cloud_cover,0.8786087618959861,
classification,catboost,wind_7d_mean,0.8747145569223664,
classification,catboost,rain_lag_1d,0.8106825262391691,
classification,catboost,rain_lag_2d,0.5892191343519568,
